user_name,user_id,type,search_location
dittos,2622,User,korea
semin,2831,User,korea
seongilp,4402,User,korea
kkung,4880,User,korea
codian,4886,User,korea
aproxacs,5384,User,korea
superkdk,6414,User,korea
wisehouse,7342,User,korea
telmich,9397,User,korea
kimhyunkang,10231,User,korea
andypotion,12043,User,korea
anarcher,12271,User,korea
dahlia,12431,User,korea
allieus,13359,User,korea
rootbox,14272,User,korea
sjoonk,14421,User,korea
bamchi,14390,User,korea
zooliet,15434,User,korea
ikspres,16452,User,korea
nainu,18378,User,korea
hiphapis,18629,User,korea
hellodeibu,18850,User,korea
wookay,19859,User,korea
sublee,19982,User,korea
studioego,20002,User,korea
anamba,20097,User,korea
rath,20171,User,korea
graykara,21213,User,korea
msbaek,22156,User,korea
capsize,22131,User,korea
mixed,22300,User,korea
ljsking,22847,User,korea
simple,23135,User,korea
zzerr,23298,User,korea
jongyeol,23586,User,korea
me2day,23895,Organization,korea
yangkun,26107,User,korea
gogamza,26209,User,korea
stephenjang,26544,User,korea
miname,28054,User,korea
sangchul,28073,User,korea
falsetru,29461,User,korea
pcpenpal,30805,User,korea
flyingmate,32774,User,korea
comsi02,33115,User,korea
cwyang,33555,User,korea
fenlis,37682,User,korea
jongchae77,39734,User,korea
smryoo,39737,User,korea
moongtook,43008,User,korea
yoophi,43069,User,korea
mait,43335,User,korea
alovenest,43333,User,korea
eungju,44826,User,korea
sanxiyn,45249,User,korea
channy,45874,User,korea
e2goon,45934,User,korea
eulsoo,46120,User,korea
jihyun,46130,User,korea
deepreds,46268,User,korea
d3m3vilurr,47262,User,korea
namhyung,48503,User,korea
aero,50386,User,korea
JEEN,50426,User,korea
woongy,51025,User,korea
darjeeling,52967,User,korea
duecorda,53891,User,korea
sr1919,54760,User,korea
cheng80,62649,User,korea
u2island,62667,User,korea
behumble,63812,User,korea
jaenyoo,65674,User,korea
aposto,66810,User,korea
daeinki,67304,User,korea
kiseok7,67687,User,korea
twchoi,67995,User,korea
KunmyonChoi,67715,User,korea
firejune,68166,User,korea
wanbok,68603,User,korea
lethee,68858,User,korea
sio4,69406,User,korea
youknowone,69878,User,korea
PowerKiKi,72603,User,korea
ellek,72391,User,korea
fdisk,72352,User,korea
mik8y,73496,User,korea
simmani5,73556,User,korea
arawn,74773,User,korea
fupfin,74791,User,korea
iolo,77693,User,korea
miracle0k,80335,User,korea
leemgs,82404,User,korea
ryuchihoon,83091,User,korea
hjazz,83919,User,korea
hadesyi,84391,User,korea
saltfactory,84361,User,korea
gduquesnay,84978,User,korea
nije,85159,User,korea
ermaker,86162,User,korea
jgkim,86622,User,korea
yong27,87085,User,korea
kmsr819,87534,User,korea
iiwork,87807,User,korea
seungwoonlee,88384,User,korea
yangwansu,89217,User,korea
withrain,88980,User,korea
jijuta,90508,User,korea
donghee,91220,User,korea
DexterShin,93044,User,korea
ygpark2,93011,User,korea
nullvana,95160,User,korea
admire93,95910,User,korea
LambertPark,97824,User,korea
lunamoth,99085,User,korea
web2sig,99343,User,korea
jmjeong,100958,User,korea
nephilim,102960,User,korea
forty4,103531,User,korea
ringneck,103636,User,korea
nohmad,104927,User,korea
broong,105943,User,korea
phploveme,106885,User,korea
khris,107134,User,korea
mhleekent,109689,User,korea
insoul,111279,User,korea
vier,111281,User,korea
Jongtae,113760,User,korea
joowh85,113645,User,korea
pueding,114452,User,korea
saystone,114876,User,korea
epsilon,114831,User,korea
mineout,115245,User,korea
taeyoungchoon,116115,User,korea
svperbeast,116392,User,korea
wonkim,118130,User,korea
rookiecj,118442,User,korea
redpixel,118825,User,korea
sakim,119204,User,korea
mckabi,120152,User,korea
tastyone,120401,User,korea
xymz,121872,User,korea
romad,123122,User,korea
bliss7,124357,User,korea
haandol,124808,User,korea
cariaso,125330,User,korea
cooljoseph,126427,User,korea
xguru,126918,User,korea
divinespear,126630,User,korea
longfin,128436,User,korea
kall,131077,User,korea
jaehyun,132674,User,korea
ddumbugie,133537,User,korea
composite,134171,User,korea
zenos2408,134125,User,korea
monpetit,134469,User,korea
suminb,136119,User,korea
joohaeng,136694,User,korea
rocker76,136620,User,korea
realloc,138651,User,korea
mordol,139015,User,korea
haamop,140426,User,korea
sungsoo,140468,User,korea
jinnipark,142516,User,korea
amoogi,142491,User,korea
nmchau,142670,User,korea
happytk,143521,User,korea
gd452,144722,User,korea
rhiokim,145777,User,korea
hohobabyp,146095,User,korea
Reiot,147601,User,korea
nacyot,148919,User,korea
midnightradio,149314,User,korea
Hoya,149136,User,korea
harebox,149604,User,korea
jgko,150942,User,korea
comfuture,151300,User,korea
ziwon,152046,User,korea
mmnmm,151908,User,korea
dualistmage,151737,User,korea
heycalmdown,154198,User,korea
ACodeFarmer,155375,User,korea
joonhwan,155524,User,korea
coolengineer,155516,User,korea
golanger,155190,User,korea
amyung,155823,User,korea
appleparan,156580,User,korea
jsveron23,156895,User,korea
teslamint,158752,User,korea
jsharp83,160281,User,korea
allbegray,163217,User,korea
nolboo,166194,User,korea
redongjun,166553,User,korea
skysign,166869,User,korea
kanigsson,169032,User,korea
cavelife,169308,User,korea
kangchh,170180,User,korea
aanoaa,170528,User,korea
HQHAN,170576,User,korea
cholubin,171634,User,korea
nitric1,172585,User,korea
fharenheit,172961,User,korea
trustin,173918,User,korea
spikeekips,174565,User,korea
srothan,174729,User,korea
RHARID,175606,User,korea
jhpark816,175927,User,korea
dahinir,176043,User,korea
minnamgoong,176535,User,korea
lukechoi,177137,User,korea
narcus,177154,Organization,korea
blackway,178323,User,korea
neoroman,180489,User,korea
woosiki,180553,User,korea
cloudree,183389,User,korea
jaechoon2,185507,User,korea
meinside,185988,User,korea
naltang,186353,User,korea
kexplo,186918,User,korea
MinCha,187362,User,korea
edwardyoon,189909,User,korea
boxersb,189953,User,korea
taeyoung-yoon,189828,User,korea
yeonsh,190906,User,korea
kskang,190556,User,korea
blmarket,192258,User,korea
luuvish,192322,User,korea
youngker,192427,User,korea
wish95,191943,User,korea
tyranno,193549,User,korea
dongmyo,196947,User,korea
jongjin-kim,196255,User,korea
philipjkim,197533,User,korea
ngleader,199256,User,korea
iamslash,199950,User,korea
faber08,201080,User,korea
ghoal,205939,User,korea
fullc0de,206534,User,korea
ny-kim,206832,User,korea
atle4ever,207646,User,korea
fallroot,209437,User,korea
ikkim56,209008,User,korea
Bloodevil,210798,User,korea
codeengn,210727,User,korea
AceOne,210421,User,korea
drumcap,211206,User,korea
picneko,211477,Organization,korea
taggon,212034,User,korea
bi2one,212138,User,korea
hunmin,212828,User,korea
hjbaek,214442,User,korea
JeffGuKang,216363,User,korea
chanlee,218757,User,korea
bluecat,218908,User,korea
ebizboy,219700,User,korea
lukehwang,219687,User,korea
devnight,219697,User,korea
barrbrain,220594,User,korea
Doramong,220565,User,korea
minkyu,220576,User,korea
ganadist,221114,User,korea
giannitedesco,221359,User,korea
smartbox,221192,User,korea
klee-xx,221117,User,korea
jungjoon,222291,User,korea
schun,222754,User,korea
stadia,223683,User,korea
ycha,223491,User,korea
mhplus,223503,User,korea
xyz37,224435,User,korea
jkim0,224246,User,korea
whitevil,225099,User,korea
ledzpl,225894,User,korea
keewon,227190,User,korea
wolfapple,227749,User,korea
scjung,227771,User,korea
jaedoki,228346,User,korea
chrispark,228350,User,korea
caribjin,229460,User,korea
denisu,231255,User,korea
itugs,230661,User,korea
keynut,230707,User,korea
Daehokim,231440,User,korea
mattstiles,232237,User,korea
wkpark,232347,User,korea
grizlupo,233445,User,korea
PUMPL,233796,User,korea
november-code,233948,User,korea
nalbam,235465,User,korea
rhdxmr,236042,User,korea
taeminlee,237049,User,korea
hatemogi,238582,User,korea
y0ngjae,240180,User,korea
porcoesphino,240905,User,korea
namenu,243097,User,korea
gxboard,243443,User,korea
revirth,243781,User,korea
eeyees,244456,User,korea
ThomasGook,245200,User,korea
onacit,247819,User,korea
han9kin,248663,User,korea
yoloseem,249795,User,korea
corund,253075,User,korea
kaojinz,252305,User,korea
azki,253638,User,korea
playok,253674,User,korea
SaintJuny,254161,User,korea
jevolp,259879,User,korea
kjaylee,263911,User,korea
jakebaek,266181,User,korea
songlife,266240,User,korea
kwangminlee,266692,User,korea
mrkayhyun,271588,User,korea
DynamicScope,272916,User,korea
seanpark,274259,User,korea
heroddaji,274249,User,korea
patricksung,273930,User,korea
bywoong,275024,User,korea
jckdotim,276766,User,korea
hurrah,276255,User,korea
ggum007,276270,User,korea
yongho,277423,User,korea
chanjin,278488,User,korea
gochist,282159,User,korea
ipkn,283960,User,korea
eseiker,285361,User,korea
comcxx11,285289,User,korea
chitacan,286950,User,korea
eyelove,286418,User,korea
messier219,287376,User,korea
kyungw00k,288273,User,korea
hp8840,288396,User,korea
premist,291078,User,korea
tykim21,291769,User,korea
esungkoo,291793,User,korea
rumidier,293158,User,korea
javakiller,296290,User,korea
monomino,296403,User,korea
onesup,298348,User,korea
joonhochoi,298398,User,korea
ejoonie,299261,User,korea
venice81,299458,User,korea
nounweb,300592,User,korea
webkini,300994,User,korea
nzin4x,300782,User,korea
sooheon,302945,User,korea
chorr,302914,User,korea
bage79,304911,User,korea
denzels,304682,User,korea
waltonjones,304487,User,korea
ehrudxo,305552,User,korea
semanian,305712,User,korea
aucd29,306378,User,korea
relip,308623,User,korea
intmain,309580,User,korea
skyfe79,309935,User,korea
yoonchee,311382,User,korea
frends,311385,Organization,korea
joonion,312419,User,korea
ikpil,313821,User,korea
rampart81,314608,User,korea
masonshin,314555,User,korea
darkpuca,314667,User,korea
myzany,316344,User,korea
chobbang,316243,User,korea
sunzer09,316022,User,korea
cybaek,317581,User,korea
iziz,318647,User,korea
cyluss,318915,User,korea
hongkin0220,320672,User,korea
gruter,321825,Organization,korea
lifthrasiir,323836,User,korea
nearfri,323940,User,korea
KIMJIHYUN,326132,User,korea
kookyungmo,327457,User,korea
bwahn,328604,User,korea
kihwang,328681,User,korea
odd-poet,329981,User,korea
noruya,329138,User,korea
nexusz99,330233,User,korea
kkoccaemi,330571,User,korea
agiletalk,331528,User,korea
jean-baptiste-salles,332248,User,korea
kimsungyoo,331475,User,korea
aafwu00,332638,User,korea
Fisheye82,332611,User,korea
suapapa,333745,User,korea
sikinmettugi,333649,User,korea
crpdm,334811,User,korea
koojunho,334933,User,korea
100star,335715,User,korea
junhoster,338044,User,korea
junheon,339420,User,korea
hwanjjang,339525,User,korea
desty,341613,User,korea
jenix21,341726,User,korea
leegeng,343270,User,korea
choipd,344131,User,korea
yeaz,344486,User,korea
jihopark,344497,User,korea
rockmkd,347042,User,korea
PawBrick,347608,User,korea
tkazec,348946,User,korea
lostady,348820,User,korea
sophnim,348818,User,korea
songgane,349898,User,korea
fratboy,349984,User,korea
xtknight,350525,User,korea
swmaestro,351176,Organization,korea
yhcting,352487,User,korea
sangkyoonnam,354771,User,korea
gumpcha,356603,User,korea
kwoun1982,357269,User,korea
free1002,357629,User,korea
iamssen,357619,User,korea
initialkbn,358350,User,korea
ilashman,358518,User,korea
qnibus,359288,User,korea
7696122,359569,User,korea
benkimkimben,360127,User,korea
Pusungwi,360631,User,korea
x86kernel,362194,User,korea
protez,364230,User,korea
leejung,365444,User,korea
jeyong,367670,User,korea
voyageth,366810,User,korea
youngchulma,366787,User,korea
kekemu,368103,User,korea
chobaeks,369117,User,korea
gemfile0,369285,User,korea
malhagi,371859,User,korea
ibare,372263,User,korea
kstreee,374702,User,korea
crebiz,374408,User,korea
Taehun,374109,User,korea
gizrak,374194,User,korea
JaeYooLee,374311,User,korea
wonyoungso,376269,User,korea
insung,375385,User,korea
suakii,376785,User,korea
jbrieu,376581,User,korea
mobilehunter,376623,User,korea
miraten,377643,User,korea
SeoJueun,377437,User,korea
yeoupooh,380420,User,korea
wizard113,380300,User,korea
quisa137,380849,User,korea
rishubil,382014,User,korea
sunnyskc,381972,User,korea
carryel,382836,User,korea
doojooil,383044,User,korea
sugusbs,385033,User,korea
kimdwkimdw,386070,User,korea
younjinjeong,386010,User,korea
changwng,388043,User,korea
shiren,389021,User,korea
hjshin,388925,User,korea
outsideris,390146,User,korea
danielniko,390069,User,korea
yoonani,390233,User,korea
hyunjong-lee,391920,User,korea
ousnhang,393501,User,korea
serialx,395732,User,korea
hyukhur,397660,User,korea
thomasjun,397580,User,korea
lesstif,404534,User,korea
ThinkinGim,403687,User,korea
chaeya,405502,User,korea
huntrax11,407563,User,korea
jongmin-son,407732,User,korea
ssowonny,412544,User,korea
khmirage,414091,User,korea
cybergeni0511,414120,User,korea
yoonjechoi,414278,User,korea
Hardtack,415292,User,korea
GraceSohn,416038,User,korea
fetu92,417008,User,korea
sysyphus,418904,User,korea
drsasimi,419349,User,korea
Thaileang,418555,User,korea
seapy,421486,User,korea
canlang,420433,User,korea
hyunjun19,421863,User,korea
dreaman,421674,User,korea
coolhero,423064,User,korea
segfault87,424089,User,korea
chaospace,424114,User,korea
minsu,425537,User,korea
victorology,426028,User,korea
wangta69,427687,User,korea
hglee,427595,User,korea
jaewonk,430099,User,korea
acuros,430802,User,korea
brainagenet,430341,User,korea
chanwoo,432413,User,korea
acroedit,433493,User,korea
again4you,433435,User,korea
roberttea,433873,User,korea
kyunni,434321,User,korea
samuel281,434338,User,korea
zziuni,436820,User,korea
rabter,436320,User,korea
sapzildj,438762,User,korea
bigrender,440469,User,korea
kosicheol,440152,User,korea
ohyecloudy,441572,User,korea
krazyeom,442477,User,korea
jhsmyth99,443508,User,korea
lseongjoo,444818,User,korea
miyunim,447006,User,korea
dinga33,446834,User,korea
jaeswith,446341,User,korea
havban,447858,User,korea
thefron,449334,User,korea
ses1430,452079,User,korea
ozbek,452620,User,korea
hooney,452673,User,korea
everyevery,453247,User,korea
likerivers12,452844,User,korea
hest,455945,User,korea
trazy,456076,User,korea
UbermenschJO,455757,User,korea
Saberre,458539,User,korea
bongye,457505,User,korea
taeminhong,459169,User,korea
cansmile,459021,User,korea
jundols,458929,User,korea
jeppy,461254,User,korea
kimho,462117,User,korea
jytalk,462012,User,korea
mcpanic,462257,User,korea
wisestone,462390,User,korea
Youzin,462544,User,korea
0sung1,464435,User,korea
choseungbin,464074,User,korea
tobyyun,465479,User,korea
wankyu,465139,User,korea
senthilrajatk,465044,User,korea
Jiigi,465458,User,korea
sasair,466437,User,korea
gasbank,467275,User,korea
eomjinyoung,468494,User,korea
jinsoolife,470304,User,korea
pisces,471004,User,korea
jinahya,472490,User,korea
YoonBongKim,475786,User,korea
illlust,475315,User,korea
desertroad,477670,User,korea
goshng,478173,User,korea
handrake,479161,User,korea
jmbyun,479880,User,korea
dboptimize,481043,User,korea
kickscar,482271,User,korea
m0er,481800,User,korea
sunphiz,481563,User,korea
sairion,484290,User,korea
odyss009,483157,User,korea
bjrnt,484114,User,korea
so-high,483560,User,korea
hajinsu,483316,User,korea
KimNoori,484274,User,korea
choruspapa,483324,User,korea
YoungTaeSung,484047,User,korea
kyungilpark,483765,User,korea
flourscent,485039,User,korea
soohyunc,487251,User,korea
staricex,486725,User,korea
jinyoung,487999,User,korea
yanhkim,488051,User,korea
usang,489487,User,korea
bajutae,491416,User,korea
ezaurum,492851,User,korea
deminoth,495412,User,korea
tushin,494595,User,korea
ipureboy,494422,User,korea
gvkalra,498380,User,korea
loslch,498711,User,korea
eunjae-lee,499898,User,korea
azurepeak,499787,User,korea
dalgos,502099,User,korea
hongiiv,502944,User,korea
godkbg,502981,User,korea
wwwcom,502707,User,korea
lacti,504804,User,korea
ryoostar,504325,User,korea
yongjincho,504255,User,korea
gagamel,506122,User,korea
jhtart,506176,User,korea
hyung82,508795,User,korea
Kangmo,510271,User,korea
shurain,509888,User,korea
rorlab,511048,User,korea
binoopang,510862,User,korea
youngdeok,510922,User,korea
althjs,512765,User,korea
KimPD,514830,User,korea
promate1,514180,User,korea
jjunho,516612,User,korea
galsys,515594,User,korea
giseongeom,516587,User,korea
gilbird,515867,User,korea
smilk,517292,User,korea
daclouds,518869,User,korea
rubykr,518913,Organization,korea
Devcel,519751,User,korea
doortts,520523,User,korea
kingori,520510,User,korea
comnic,520531,User,korea
toadkicker,523330,User,korea
joelkim,523603,User,korea
dnsdud,525457,User,korea
shaynekang,528040,User,korea
jayleec,528999,User,korea
icq4ever,530796,User,korea
eruhkim,531214,User,korea
agelito,530735,User,korea
ultramusso,530428,User,korea
aragorn,531457,User,korea
