daneden/animate.css,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
jakubroztocil/httpie,'ascii' codec can't encode character u'\u2013' in position 32: ordinal not in range(128)
ionic-team/ionic,'ascii' codec can't encode characters in position 104-105: ordinal not in range(128)
yarnpkg/yarn,'ascii' codec can't encode characters in position 0-3: ordinal not in range(128)
requests/requests,'ascii' codec can't encode character u'\u2122' in position 31: ordinal not in range(128)
ReactiveX/RxJava,'ascii' codec can't encode character u'\u2013' in position 7: ordinal not in range(128)
getlantern/lantern,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
ansible/ansible,'ascii' codec can't encode character u'\u2014' in position 187: ordinal not in range(128)
Trinea/android-open-project,'ascii' codec can't encode characters in position 57-61: ordinal not in range(128)
Modernizr/Modernizr,'ascii' codec can't encode character u'\u2019' in position 82: ordinal not in range(128)
justjavac/free-programming-books-zh_CN,'ascii' codec can't encode characters in position 8-25: ordinal not in range(128)
serverless/serverless,'ascii' codec can't encode character u'\u2013' in position 21: ordinal not in range(128)
kamranahmedse/design-patterns-for-humans,'ascii' codec can't encode character u'\u2122' in position 26: ordinal not in range(128)
open-guides/og-aws,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
fastlane/fastlane,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
mathiasbynens/dotfiles,'ascii' codec can't encode character u'\u2014' in position 36: ordinal not in range(128)
numbbbbb/the-swift-programming-language-in-chinese,'ascii' codec can't encode characters in position 0-2: ordinal not in range(128)
FallibleInc/security-guide-for-developers,'ascii' codec can't encode characters in position 31-41: ordinal not in range(128)
request/request,'ascii' codec can't encode characters in position 0-3: ordinal not in range(128)
FreeCodeCampChina/freecodecamp.cn,'ascii' codec can't encode characters in position 0-4: ordinal not in range(128)
GitbookIO/gitbook,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
ant-design/ant-design,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
verekia/js-stack-from-scratch,'ascii' codec can't encode characters in position 0-3: ordinal not in range(128)
racaljk/hosts,'ascii' codec can't encode characters in position 19-23: ordinal not in range(128)
pugjs/pug,'ascii' codec can't encode character u'\u2013' in position 4: ordinal not in range(128)
kriasoft/react-starter-kit,'ascii' codec can't encode character u'\u2014' in position 18: ordinal not in range(128)
webtorrent/webtorrent,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
jaywcjlove/awesome-mac,'ascii' codec can't encode character u'\uf8ff' in position 0: ordinal not in range(128)
mochajs/mocha,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
standard/standard,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
fouber/blog,'ascii' codec can't encode characters in position 0-12: ordinal not in range(128)
storybooks/storybook,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
gatsbyjs/gatsby,'ascii' codec can't encode characters in position 0-5: ordinal not in range(128)
ipader/SwiftGuide,'ascii' codec can't encode characters in position 0-6: ordinal not in range(128)
naptha/tesseract.js,'ascii' codec can't encode characters in position 37-42: ordinal not in range(128)
PerfectlySoft/Perfect,'ascii' codec can't encode character u'\u2026' in position 151: ordinal not in range(128)
sorrycc/awesome-javascript,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
developit/preact,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
facebook/jest,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
julycoding/The-Art-Of-Programming-By-July,'ascii' codec can't encode characters in position 0-49: ordinal not in range(128)
RubaXa/Sortable,'ascii' codec can't encode character u'\u2014' in position 9: ordinal not in range(128)
JacksonTian/fks,'ascii' codec can't encode characters in position 0-5: ordinal not in range(128)
bailicangdu/vue2-elm,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
alsotang/node-lessons,'ascii' codec can't encode character u'\u300a' in position 13: ordinal not in range(128)
rbenv/rbenv,'ascii' codec can't encode character u'\u2019' in position 14: ordinal not in range(128)
localForage/localForage,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
ruanyf/jstraining,'ascii' codec can't encode characters in position 0-8: ordinal not in range(128)
imathis/octopress,'ascii' codec can't encode character u'\u2019' in position 70: ordinal not in range(128)
geekcompany/ResumeSample,'ascii' codec can't encode characters in position 42-53: ordinal not in range(128)
fxsjy/jieba,'ascii' codec can't encode characters in position 0-5: ordinal not in range(128)
hzlzh/Best-App,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
reactnativecn/react-native-guide,'ascii' codec can't encode characters in position 12-18: ordinal not in range(128)
abhishekbanthia/Public-APIs,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
containous/traefik,'ascii' codec can't encode character u'\xe6' in position 2: ordinal not in range(128)
styled-components/styled-components,'ascii' codec can't encode characters in position 40-41: ordinal not in range(128)
ty4z2008/Qix,'ascii' codec can't encode character u'\u3001' in position 16: ordinal not in range(128)
